Feature,Importance
num__Days for shipment (scheduled),0.0686736327319597
cat__Shipping Mode_Standard Class,0.06036518119852714
cat__Shipping Mode_First Class,0.04578508840714532
num__Latitude,0.029622580590435175
num__Longitude,0.02766888730444475
num__Benefit per order,0.02556254808589911
num__Order Profit Per Order,0.025431048943210733
num__Order Item Profit Ratio,0.023254353663785768
num__Sales per customer,0.022434042849212497
num__Order Item Total,0.0223523519378497
num__Order Item Discount,0.021980793351572592
num__Order Item Discount Rate,0.019589586304565074
cat__Shipping Mode_Second Class,0.019223198927759498
num__Sales,0.01348083068140926
num__Product Price,0.010295859076973491
num__Order Item Product Price,0.01024553896406899
num__Category Id,0.010236753498958962
num__Order Item Quantity,0.008278012805031133
cat__Shipping Mode_Same Day,0.007327217049032253
cat__Customer Segment_Consumer,0.007077609092688127
num__Department Id,0.0068360097992451055
cat__Customer Segment_Corporate,0.0062514612503791755
cat__Customer Segment_Home Office,0.005105824128669869
cat__Type_TRANSFER,0.0047791513217101175
cat__Type_DEBIT,0.0038126384703260885
cat__Type_PAYMENT,0.003262832040735351
cat__Department Name_Fan Shop,0.003172939920391194
cat__Department Name_Apparel,0.003019631555289813
cat__Customer State_CA,0.0030173980512986976
cat__Customer City_Caguas,0.002910558175171706
cat__Department Name_Golf,0.0026880328772044136
cat__Customer Country_EE. UU.,0.0026714858563102388
cat__Customer Country_Puerto Rico,0.002636473322483455
cat__Customer State_PR,0.0026324885201967716
cat__Market_Europe,0.0025274843902500675
cat__Type_CASH,0.0024896078502754685
cat__Category Name_Cleats,0.0024255227896976934
cat__Market_LATAM,0.0024202898059654727
cat__Market_Pacific Asia,0.0023989301107586523
cat__Category Name_Women's Apparel,0.0022105499099456323
cat__Order Region_Western Europe,0.0021536862372550074
cat__Order Region_Central America,0.0021202200177427607
cat__Category Name_Indoor/Outdoor Games,0.002086209861329751
cat__Customer State_NY,0.0020285825857768386
cat__Category Name_Men's Footwear,0.0019331472065863041
cat__Market_USCA,0.0018560508881345532
cat__Order Country_Estados Unidos,0.0018282317976099868
cat__Customer State_TX,0.0017481136397311285
cat__Category Name_Water Sports,0.0017454808337671354
cat__Order Country_México,0.0017289119929823139
cat__Department Name_Footwear,0.0017212391401294242
cat__Order Country_Francia,0.0017002694080653388
cat__Order Region_South America,0.0016519505007049373
cat__Category Name_Camping & Hiking,0.0016403835389389833
cat__Category Name_Fishing,0.0015885737701673576
cat__Category Name_Shop By Sport,0.0015582113793213973
cat__Category Name_Cardio Equipment,0.00155337574622797
cat__Order Region_Oceania,0.0014986396142948838
cat__Order Country_Alemania,0.001488243915012066
cat__Department Name_Outdoors,0.0014394836037681903
cat__Order Region_Southeast Asia,0.0014168095481826943
cat__Customer State_IL,0.001411290736213875
cat__Order Region_Northern Europe,0.0013695900840345295
cat__Order Country_Australia,0.0013621205592742336
cat__Customer State_FL,0.0013589003797216102
cat__Market_Africa,0.00134669259284172
cat__Order Region_Southern Europe,0.0013305179477424674
cat__Order Region_West of USA ,0.001324113542166923
cat__Order Country_Brasil,0.0012572700081912686
cat__Order Region_East of USA,0.0012450689752118876
cat__Order Region_South Asia,0.0012159466151967853
cat__Order Region_Caribbean,0.0012110591471347872
cat__Order Region_Eastern Asia,0.0011626549392340516
cat__Order Country_Reino Unido,0.001154877954640923
cat__Order State_Isla de Francia,0.0011527578891297133
cat__Order State_Inglaterra,0.0011265307570966895
cat__Customer City_Los Angeles,0.0011123346466247576
cat__Customer State_OH,0.001110548214027624
cat__Order Region_US Center ,0.0011036194857032215
cat__Order State_California,0.0010938183442891292
cat__Order Country_China,0.0010717739644737223
cat__Customer City_Chicago,0.0010336040623955811
cat__Customer City_Brooklyn,0.001032718007562252
cat__Customer State_PA,0.0010245784251585366
cat__Order Region_West Asia,0.0010164695026766704
cat__Customer State_MI,0.0010163901049651711
cat__Order Country_Italia,0.0009665953654847702
cat__Order Country_Honduras,0.0009652087669440976
cat__Order Country_Indonesia,0.0009435053440313677
cat__Customer State_NJ,0.0009434732602397799
cat__Order Region_South of  USA ,0.0009343835989046842
cat__Order Country_India,0.0009185636934149458
cat__Order State_Renania del Norte-Westfalia,0.0009159429163564025
cat__Customer State_AZ,0.0008984840225489569
cat__Order State_Distrito Federal,0.0008942365831632822
cat__Order Country_El Salvador,0.0008855370730071334
cat__Order Country_España,0.0008738243979701143
cat__Order Country_República Dominicana,0.0008677275123553395
cat__Order Country_Nicaragua,0.0008567388702599034
cat__Order Region_Eastern Europe,0.0008211742532286148
cat__Order State_Nueva York,0.0008110069831791492
cat__Order State_San Salvador,0.0008079390543907087
cat__Category Name_Electronics,0.0008049683750490243
cat__Order City_Los Angeles,0.000802310044867366
cat__Customer State_MD,0.0008019847743998937
cat__Order State_Texas,0.0007958525290724
cat__Customer State_GA,0.0007870009011842423
cat__Order Country_Guatemala,0.0007851415211536081
cat__Order State_Nueva Gales del Sur,0.0007766308624486752
cat__Customer City_New York,0.0007706370044977921
cat__Order Country_Turquía,0.0007574272800314341
cat__Order Country_Cuba,0.0007461072395874104
cat__Order Region_West Africa,0.000741481668565971
cat__Order City_San Francisco,0.0007195697801521921
cat__Order City_Santo Domingo,0.000719175200113518
cat__Order State_Queensland,0.0007092743050197712
cat__Order State_São Paulo,0.0007080834070652299
cat__Order City_New York City,0.0007033264157843848
cat__Order City_Mexico City,0.0006968954187543362
cat__Customer City_San Diego,0.0006962987898676401
cat__Order State_Provenza-Alpes-Costa Azul,0.0006960486661691336
cat__Order State_Guatemala,0.0006934367688234907
cat__Order Region_North Africa,0.000684611312284392
cat__Order City_London,0.0006776974779101324
cat__Order State_Santo Domingo,0.0006726131602393556
cat__Customer State_NC,0.0006678784467508121
cat__Order Country_Filipinas,0.0006642940769878354
cat__Order Country_Panamá,0.0006514998331990033
cat__Order State_Francisco Morazán,0.0006489725967754651
cat__Customer State_VA,0.0006473988059553054
cat__Order City_Tegucigalpa,0.0006425476568355236
cat__Customer City_Philadelphia,0.0006359467048587536
cat__Order City_Managua,0.0006353828768981225
cat__Order State_Managua,0.0006253434673728248
cat__Order Country_Países Bajos,0.0006247032677280158
cat__Customer State_CO,0.0006207433606865012
cat__Order State_Victoria,0.0006148798738212011
cat__Customer State_TN,0.0006148517019994707
cat__Order State_Capital Nacional,0.0006131713694427867
cat__Customer City_Bronx,0.0006074851561745645
cat__Order Country_Nigeria,0.0006037645146803338
cat__Customer City_Miami,0.0006035927910031304
cat__Order Country_Argentina,0.0006017532608679645
cat__Order State_Jalisco,0.0005917426013766463
cat__Order City_San Salvador,0.0005910671364447634
cat__Order State_Panamá,0.0005881754353948167
cat__Order State_Pensilvania,0.0005838120109570277
cat__Customer State_MA,0.0005822119739525076
cat__Department Name_Fitness,0.0005770803392272785
cat__Order Country_Colombia,0.0005766580384216863
cat__Order City_Philadelphia,0.0005721768991476967
cat__Customer State_NV,0.0005651743546637667
cat__Order City_Manila,0.000560237087222094
cat__Customer State_MO,0.0005574227874177177
cat__Customer City_Houston,0.0005570803462626317
cat__Order City_Sydney,0.0005328216417683998
cat__Order City_Paris,0.0005296108811866719
cat__Customer City_Las Vegas,0.0005286770371401554
cat__Order State_Languedoc-Rosellón-Mediodía-Pirineos,0.0005229446039665103
cat__Order City_Berlín,0.0005163362457515866
cat__Order State_Illinois,0.0005061756989201571
cat__Order Country_Austria,0.0005035539191026803
cat__Order City_Yakarta,0.0004960966735216299
cat__Order Country_Irán,0.000493149678955679
cat__Order State_Bavaria,0.0004921550091761137
cat__Order State_Berlín,0.0004881290441516138
cat__Order Country_Nueva Zelanda,0.00048768348940587155
cat__Order State_Cortés,0.00048419619360884776
cat__Order City_Houston,0.0004827914544502555
cat__Customer City_Detroit,0.00047852243568932934
cat__Customer City_Aurora,0.000476538329451941
cat__Customer City_Phoenix,0.00047516270772234986
cat__Order State_Java Occidental,0.00047498150650761767
cat__Order State_Ohio,0.0004723538823569755
cat__Customer State_OR,0.00047095192369144803
cat__Order State_Norte-Paso de Calais-Picardía,0.0004704036343596382
cat__Order Region_East Africa,0.0004666143446534619
cat__Order City_Chicago,0.0004640634242081486
cat__Order State_Maharashtra,0.00046367311756244
cat__Customer City_Dallas,0.00046319500306762803
cat__Order State_Estambul,0.00046131193375583817
cat__Order State_Florida,0.00046060317579519006
cat__Order State_Yakarta,0.0004579774792854703
cat__Customer State_CT,0.00045474475870641793
cat__Customer State_LA,0.00045448950612238785
cat__Order State_Washington,0.00045295876296828555
cat__Category Name_Girls' Apparel,0.0004519679205540704
cat__Order City_Seattle,0.0004499692281773426
cat__Customer State_UT,0.0004484316585168066
cat__Order State_Guanajuato,0.00044823276275674276
cat__Order Region_Central Africa,0.0004440743912357084
cat__Order State_Guangdong,0.00043903903243798606
cat__Category Name_Accessories,0.00043809977957027813
cat__Order City_San Pedro Sula,0.00043774653233412305
cat__Order State_Aquitania-Lemosín-Poitou-Charentes,0.000437250814520939
cat__Order City_Viena,0.00043663362784562745
cat__Customer City_San Jose,0.00043595308790755834
cat__Order State_Viena,0.0004334873049848962
cat__Order State_Auvernia-Ródano-Alpes,0.0004326221704481221
cat__Order State_Alsacia-Champaña-Ardenas-Lorena,0.00042995984742511575
cat__Order City_Melbourne,0.0004296350192884771
cat__Order City_Mixco,0.0004279669714375857
cat__Customer City_Lancaster,0.00042568267106037614
cat__Order State_Santiago de Chile,0.00042465152640533215
cat__Order State_Chihuahua,0.000423925685858118
cat__Order Country_Egipto,0.0004202533748939126
cat__Order Country_Marruecos,0.000419848503266496
cat__Order State_Australia Occidental,0.0004197967920557118
cat__Department Name_Discs Shop,0.00041653211793137246
cat__Customer City_Cleveland,0.0004121707344076771
cat__Order State_Buenos Aires,0.000411089417007464
cat__Order State_México,0.0004077964958067316
cat__Customer City_San Antonio,0.0004069880774239661
cat__Customer State_HI,0.00040567645741235105
cat__Order State_Baden-Wurtemberg,0.00040562150999443964
cat__Order State_Bahía,0.0004055487555800721
cat__Customer State_NM,0.00040464294534508805
cat__Order State_Lacio,0.00040447066587199554
cat__Order City_São Paulo,0.0004043671245072929
cat__Order State_Madrid,0.0004037845858247746
cat__Order Region_Southern Africa,0.0004029587773984917
cat__Order City_Panama City,0.00040017446023155794
cat__Order City_Guadalajara,0.0003989335505840784
cat__Order State_Lagos,0.0003982027870344184
cat__Order Country_Irak,0.0003972113214142349
cat__Order State_Santa Catarina,0.00039699013792179606
cat__Order City_Estambul,0.00039552275044767583
cat__Order City_Lagos,0.0003954549653929428
cat__Customer City_Santa Ana,0.00039119721765761397
cat__Order City_Buenos Aires,0.00039022356678670024
cat__Order State_Veracruz,0.00039001810311482875
cat__Order Country_República Democrática del Congo,0.0003859442209012775
cat__Category Name_Golf Gloves,0.00038064943869327576
cat__Order City_Villa Nueva,0.00037950146509458944
cat__Order City_Madrid,0.0003780007563241312
cat__Order Country_Venezuela,0.00037686290653356295
cat__Order City_Soyapango,0.00037684625545643966
cat__Order City_Gold Coast,0.00037591111611241687
cat__Order Country_Ucrania,0.00037278743122815797
cat__Order City_León,0.00036956917243696584
cat__Order Country_Rusia,0.0003693182923965654
cat__Customer State_SC,0.0003650574599690346
cat__Order State_Puebla,0.0003646113516997851
cat__Order City_San Miguelito,0.0003643105710544932
cat__Order Country_Tailandia,0.00036250856390079503
cat__Order Country_Chile,0.0003617841322941777
cat__Order City_Toulouse,0.00036128122644261187
cat__Order Country_Bélgica,0.0003600703605725113
cat__Order Country_SudAfrica,0.00035836856628670754
cat__Order Country_Arabia Saudí,0.00035665301913105727
cat__Order State_Santiago de Cuba,0.00035515294247191325
cat__Order City_Valencia,0.0003522871336623369
cat__Order State_Bangkok,0.00035216150591800636
cat__Customer City_Corona,0.0003505515189758693
cat__Order State_Uttar Pradesh,0.00035046201037541614
cat__Customer City_Columbus,0.0003496719667285745
cat__Order City_Bangkok,0.00034682660387387257
cat__Order City_Marseille,0.00034625440957922963
cat__Category Name_Golf Balls,0.0003454622799257899
cat__Customer City_Virginia Beach,0.0003449164882313612
cat__Order State_Tamaulipas,0.0003444977133363636
cat__Customer City_El Paso,0.0003443116124259343
cat__Order City_Zapopan,0.00034380093897079674
cat__Customer State_WI,0.00034250047268721227
cat__Order City_Perth,0.00034202825836409897
cat__Order Country_Perú,0.0003405258096558687
cat__Order State_Cataluña,0.0003382844247882676
cat__Order State_Minas Gerais,0.0003373176456920409
cat__Order City_Juárez,0.0003372894923727123
cat__Order State_Australia del Sur,0.00033704408195036684
cat__Order State_Hamburgo,0.0003367628754345905
cat__Order State_Virginia,0.00033673196129134844
cat__Order Country_Suecia,0.0003361300124182148
cat__Order State_Valenciana,0.000335965029909026
cat__Order City_Brisbane,0.0003345208218746858
cat__Order City_Springfield,0.0003339678426996022
cat__Customer City_Memphis,0.00033175905855520674
cat__Order Country_Japón,0.0003306731207643063
cat__Order City_Rome,0.00033053607363349945
cat__Customer City_Stockton,0.00032921099321308266
cat__Customer City_Long Beach,0.0003289330941147701
cat__Order State_Punyab,0.0003287911544801364
cat__Order City_Mejicanos,0.0003277488052125969
cat__Customer City_Elmhurst,0.00032568074677223857
cat__Customer City_Riverside,0.0003250245667673573
cat__Order State_Nuevo León,0.000324957262714628
cat__Order State_Normandía,0.00032344008211662674
cat__Order State_Países del Loira,0.0003227541582562016
cat__Order City_San Diego,0.00032154522769929617
cat__Order City_Puebla,0.0003204815158241208
cat__Order State_Coahuila,0.0003203662636109217
cat__Customer City_New Orleans,0.0003198693254639013
cat__Order State_Tennessee,0.000319352769173748
cat__Order State_Massachusetts,0.0003191768632742736
cat__Order City_Cairo,0.0003176600210087507
cat__Customer City_Newark,0.0003171802150793714
cat__Customer City_Fort Lauderdale,0.0003145960876987241
cat__Customer City_Fort Worth,0.0003144452271575909
cat__Order City_Hamburgo,0.00031387697483543524
cat__Order State_Indiana,0.00031257073626230126
cat__Order City_Munich,0.0003122920884200775
cat__Order State_Lombardía,0.0003121048739971938
cat__Order State_Nueva Jersey,0.00031113017285044095
cat__Order Country_Pakistán,0.00031074350658652174
cat__Order City_Cologne,0.00031054136913122196
cat__Order City_Santa Ana,0.00031017523678134685
cat__Customer City_Pompano Beach,0.0003099123021028449
cat__Order State_Java Oriental,0.00030955804727568037
cat__Order State_El Cairo,0.0003086519497130214
cat__Order City_Columbus,0.00030765742232652724
cat__Customer City_Sacramento,0.0003071886477253785
cat__Customer City_Washington,0.0003069131274046094
cat__Order City_Bagdad,0.0003066189302100257
cat__Order State_Carolina del Norte,0.0003052893145424953
cat__Order State_Baja Sajonia,0.0003014643519023528
cat__Order State_Renania-Palatinado,0.00030041679917486807
cat__Order State_Georgia,0.00029948418346424443
cat__Order City_Apopa,0.000299480574268118
cat__Order State_Kentucky,0.0002990778676692625
cat__Customer City_Baltimore,0.0002977767471006103
cat__Order State_Baja California,0.00029686788830477623
cat__Customer City_Laredo,0.0002959642645271548
cat__Order City_Bogotá,0.000295707274580243
cat__Order State_Michigan,0.00029553577862015303
cat__Category Name_Trade-In,0.000295180574853953
cat__Order State_Estocolmo,0.0002949793130692914
cat__Order State_Arizona,0.00029346874835977055
cat__Order City_Canberra,0.00029328717706102625
cat__Customer City_Bakersfield,0.0002932797678442729
cat__Order City_Essen,0.00029251122992105406
cat__Order Country_Polonia,0.00029238339420276555
cat__Order State_Emilia-Romaña,0.00029075714742303347
cat__Order City_Orizaba,0.0002906620146702442
cat__Order State_Borgoña-Franco Condado,0.0002871298462854099
cat__Order Country_Canada,0.00028684343459470555
cat__Customer State_MN,0.0002861939541308865
cat__Order State_Territorio de la Capital Australiana,0.0002852193905310183
cat__Customer City_Hialeah,0.00028474218674656693
cat__Department Name_Technology,0.0002842379287190556
cat__Customer City_Antioch,0.00028381730731140615
cat__Customer City_Tucson,0.0002837713585843193
cat__Order State_Colorado,0.0002828697250803155
